prototype,rho,sigma,q,q_rg,n_nodes,feature
1246,7,2,0.24208510296003777,0.00014451111113199922,7,Partner
1390,3,1,0.13515503602721066,7.939205635674802e-05,3,Partner
1908,14,4,0.1262379292149822,0.00029839373450610566,14,Partner
798,11,1,0.11811663491844984,0.00028910304291203496,11,Partner
659,22,2,0.10410293675234134,0.0005549769199222602,22,Partner
1603,5,1,0.1021651247478552,0.00012496879273149176,5,Partner
992,9,2,0.09010335735147378,0.0001952297951696221,9,Partner
1287,55,5,0.08752824977108163,0.0013340775882587997,55,Partner
1533,18,8,0.08202165865273098,0.0005012771684698554,18,Partner
1031,32,7,0.08196419205951874,0.0008109132483200365,32,Partner
74,26,4,0.07469351011615774,0.0005727306372588526,26,Partner
1367,18,5,0.0698095634041053,0.0005012771684698554,18,Partner
809,11,3,0.06172482977478015,0.0003788463712947291,12,Partner
376,17,3,0.06146588721914266,0.0004143471263499208,17,Partner
60,20,1,0.06019864021493309,0.0004471925166836109,20,Partner
1525,8,1,0.05875045365238568,0.0001946637226375343,8,Partner
863,26,5,0.05045466623871658,0.0007163603019022238,26,Partner
349,39,2,0.04900058692309183,0.0008180331797767823,39,Partner
617,14,9,0.04764083922561206,0.0004565751555709483,14,Partner
1304,15,10,0.0459952476413523,0.000543563633104515,16,Partner
953,10,2,0.04462871025763764,0.000254326190206827,10,Partner
988,12,6,0.043505688482241886,0.0004196967179921728,12,Partner
1467,16,4,0.035960259056472606,0.000378912018420481,16,Partner
851,14,4,0.028991549142384315,0.00031775585369521063,14,Partner
996,58,8,0.027703539511358368,0.0013907307860213615,58,Partner
1337,31,8,0.026266501750876577,0.0010553138852878795,31,Partner
119,26,4,0.025700628405754926,0.0007148185365495833,26,Partner
986,19,13,0.024023093614756248,0.0004836633738607674,19,Partner
55,22,2,0.023596564844576617,0.0006476743570135074,22,Partner
912,17,3,0.022087613457973245,0.0005010256637085922,17,Partner
417,46,2,0.02005850289026023,0.0011770991377159437,46,Partner
174,67,32,0.019582776941264084,0.001828135576405238,67,Partner
460,34,4,0.018713493482820396,0.0010570067655636885,35,Partner
1476,143,68,0.015141931904006617,0.004125844405038769,143,Partner
38,39,2,0.013568791776522109,0.0011521267013481855,39,Partner
496,140,1,0.013218571208739488,0.004281312519302061,140,Partner
88,46,27,0.012900662625310115,0.0018635470109654416,48,Partner
1014,101,41,0.010614298069105165,0.0023409857399821024,101,Partner
127,714,3,0.0023216489759648393,0.020883104443649547,714,Partner
1673,13,1,0.0,0.0005688656651060279,14,Partner
1326,6,1,0.0,0.00024304752931945215,6,Partner
1530,4,1,0.0,0.0001620316862129681,4,Partner
1480,4,1,0.0,0.0001750355892633932,4,Partner
1424,5,1,0.0,0.00021879448657924152,6,Partner
1824,3,1,0.0,0.00012152376465972608,3,Partner
1731,2,1,0.0,9.014090446458526e-05,2,Partner
1589,4,1,0.0,0.0001620316862129681,4,Partner
